repository,total_releases,failed_releases,change_failure_rate_percent
harri35/res-check,1,0,0.0
bgd-point/daily-dhamma,6,4,66.67
diegocarloslima/FloatingGroupExpandableListView,3,0,0.0
lynfogeek/conference-app,1,0,0.0
Daimas/android-pachi,1,0,0.0
ITVlab/Family-Calendar,6,0,0.0
stevewest/VO-Miner,1,0,0.0
srolanh/ornamenti-fraktali,2,0,0.0
tyrex-team/senslogs,1,0,0.0
mehmetakiftutuncu/Muezzin,4,0,0.0
w9jds/MarketBot,4,0,0.0
DamienOReilly/PrepayCredit,9,3,33.33
j4velin/HueNotifier,2,0,0.0
caarmen/youreawinner,2,0,0.0
micolous/frogjump,3,0,0.0
louistsaitszho/Erg-Alpha,5,2,40.0
flide/TouchBoard,1,0,0.0
ITVlab/SubChannel,6,0,0.0
michaeltroger/sensor-visualization,2,0,0.0
mitch-b/whoisit-android,2,0,0.0
hgzojer/dice,7,0,0.0
AEFeinstein/Selfr,2,0,0.0
michelelacorte/ForceTouch,2,0,0.0
enricocid/Simply-Solid,14,0,0.0
HiiYL/MMU-Board-Android,1,0,0.0
judovana/FlashBalknaAndroid,9,0,0.0
gjedeer/androidwisprclient,4,0,0.0
ascendedguard/android-kanji-fix,8,0,0.0
iamrichardjones/MnemonicRevisionHelper-android,7,0,0.0
gappleto97/MultiCalc,1,0,0.0
bward/gctgs-app,4,0,0.0
MostafaGazar/CustomShapeImageView,3,0,0.0
crashlytics/cannonball-android,6,0,0.0
juliome10/DoubleViewPager,3,0,0.0
MohammedRashad/Donne,2,0,0.0
arunkumar9t2/chameleon-live-wallpaper,2,0,0.0
kflog-project/Cumulus,58,12,20.69
suragch/aePronunciation,3,0,0.0
jgaa/VikingGTD,2,1,50.0
dpcsoftware/Expenses,6,0,0.0
ksmirenko/cards-toefl,4,0,0.0
cvazquezlos/Lifez,1,0,0.0
JoaquimLey/avenging,1,0,0.0
testica/text-scanner,4,0,0.0
ReyKoxha/nodebb-webview,3,0,0.0
Nutomic/movecerts,2,0,0.0
C-D-Lewis/dashboard,1,0,0.0
dhis2/dhis2-android-dashboard,6,0,0.0
ueman/CampusCardReader,3,0,0.0
ftisunpar/juklak,1,0,0.0
mtransitapps/ca-vancouver-mobi-bike-android,1,0,0.0
florent37/MaterialTextField,1,0,0.0
mediavrog/integrated-rating-request,4,0,0.0
alt236/KeyEvent-Display---Android,1,0,0.0
MFlisar/MessageBar,1,0,0.0
jeffisaak/diceware-pass-gen,9,0,0.0
mo271/guessaday,2,0,0.0
ogiba/StyleableShareDialog,2,0,0.0
johnkil/Android-ProgressFragment,4,0,0.0
Piasy/HandyWidgets,2,1,50.0
jiangpeng79/antrace,5,0,0.0
sanlinnaing/MUA-Keyboard,2,0,0.0
meefik/tzupdater,6,0,0.0
bentglasstube/vecna,1,0,0.0
JordanLongstaff/Artemis-Messenger,13,0,0.0
jtechapps/FloppyThreeD,2,0,0.0
Microalg/microalg-android,1,0,0.0
HugoGresse/TweetyHunting,1,0,0.0
reliq/FirstTipCalc,1,0,0.0
BlueHerons/StatTrackerApp,1,0,0.0
Pushjet/Pushjet-Android,1,1,100.0
yeriomin/SmsScheduler,5,0,0.0
vuze/vuze-remote-for-android,9,0,0.0
mkorcha/MediaButtonOverlay,11,0,0.0
arnef/bewegungsmelder-android,1,0,0.0
ehsanmasdar/LASA-Schedules,1,0,0.0
Archheretic/ParkingLotTrackerMobileApp,1,0,0.0
cesardmoro/brewapp,3,0,0.0
cat-in-the-dark/FlashTransmitter,2,0,0.0
DarnokOk/BinaryClock,1,0,0.0
GoodBadOkay/RondoCalc,2,0,0.0
LaurentTreguier/deck,1,0,0.0
zahid-ali-shah/SignatureView,3,0,0.0
smart-fun/TabStacker,8,1,12.5
rkkr/wear-dnd-sync,1,0,0.0
eigenein/joypad-android,5,0,0.0
vanillastatus/VanillaStatusApp,2,0,0.0
andreyrd/ListLauncher,5,0,0.0
tim-sueberkrueb/ourgus,3,0,0.0
ppamorim/Cult,2,0,0.0
rmack/TwistedHomeManager,1,0,0.0
jmmrcp/Libgdx,1,0,0.0
rom4ek/ArcNavigationView,5,0,0.0
diegocarloslima/ByakuGallery,1,0,0.0
d4rken/rootvalidator,6,0,0.0
SimonMarquis/Android-UrlSchemeInterceptor,1,0,0.0
Parrot-Developers/DronesWear,6,0,0.0
hoffimar/timerdroid,1,0,0.0
namsor/gendreapp,5,0,0.0
mikljohansson/recall,1,0,0.0
raydac/AndroidPirateDice,2,0,0.0
ajhodges/WifiCallingControls,5,4,80.0
Xeratec/RoboControl,2,0,0.0
eouw0o83hf/android-wear-eouw0o83hface,1,0,0.0
NTUOSC/ntu-geocaching-android,3,0,0.0
CoolONEOfficial/circles,2,0,0.0
Manabu-GT/DesignOverlay-Android,2,0,0.0
ITVlab/Launch-On-Boot,13,0,0.0
matthill/darwinwallet,2,0,0.0
jabstone/JABtalk,4,0,0.0
hearsilent/KUAS-Food,1,0,0.0
ftp27/HelmetManager,1,0,0.0
badoualy/morphy-toolbar,6,0,0.0
VernonLee/Theogony,1,0,0.0
steverichey/Flappybalt,2,0,0.0
savvasdalkitsis/betwixt,1,0,0.0
NightlyNexus/Material-Cards,3,0,0.0
Uberi/LegitimatelyTerrible,2,0,0.0
ITVlab/neodash,5,0,0.0
doofmars/GHB-Traffic,3,0,0.0
qtwyeuritoiy/CandyBox,1,0,0.0
buntata/buntata-app,10,0,0.0
Nextome/GeoJsonify,1,0,0.0
hearsilent/Universal-CollapsingTabLayout,2,0,0.0
lolevsky/Android-Clean-Architecture,1,0,0.0
dumbfingers/AutoHosts,2,0,0.0
rpahade3011/What-sNearby,3,0,0.0
arjunkomath/mjuzik,2,0,0.0
danirod/jumpdontdie,3,0,0.0
Pikamander2/japanese-characters,3,0,0.0
mick88/notepad,1,0,0.0
mobilinkd/tnc1-android-config,3,0,0.0
xiprox/Dinner-Menu,4,0,0.0
magalvao/cardapiojj,1,0,0.0
ArcticLabs/Opendoor,3,0,0.0
AlexandreG/Volume-Setter,2,0,0.0
Ozzyboshi/InternetBeatTimeWatchFace,6,0,0.0
barun-saha/software-engineering-lite,3,0,0.0
kevinmeresse/fusionbook,1,1,100.0
FRC1756-Argos/SpeedScout17-Android,5,0,0.0
AliMehrpour/ClipBox,2,0,0.0
androidmads/SQLite2XL,1,0,0.0
Kerooker/rpg-npc-generator,2,0,0.0
sanderbaas/rainalarm-android,15,0,0.0
NPKStudios/OpenTesla,2,0,0.0
thmarg/LampeTorche,1,0,0.0
romixch/KorbballMeisterschaftAndroidApp,3,0,0.0
leonardoleal/AventuraDoConhecimento,1,0,0.0
Scutterman/diabetes-tracker,3,0,0.0
HackPlan/AndroidArcMenu,2,0,0.0
appwoodoo/appwoodoo-android-sdk,10,0,0.0
TekkLabs/memoria-politica,1,0,0.0
Digutsoft/dMetronome,5,1,20.0
mudar/RotationQuickSetting,5,0,0.0
nahratzah/speaker_phone,1,0,0.0
pjanczyk/lo1olkusz,4,0,0.0
ConsideredHamster/YetAnotherPixelDungeon,13,0,0.0
johnzweng/bankomatinfos,5,0,0.0
romanz/audiomodem-android,1,0,0.0
k3b/ContentProviderHelper,1,1,100.0
Keripo/Beats,2,0,0.0
dinosaurwithakatana/applist,2,0,0.0
bitbrain/plox,1,0,0.0
imallett/FlashBang,1,0,0.0
Mini-Stren/MultiThemer,6,0,0.0
goldenpears/wmappy,1,0,0.0
zzz40500/AndroidSweetSheet,1,0,0.0
konifar/droidkaigi2016,7,7,100.0
rignaneseleo/SlimSocial-for-Twitter,5,0,0.0
NanneHuiges/androblip,2,0,0.0
kenneho/run-for-the-bus,1,0,0.0
PhilJay/ValueBar,3,0,0.0
pkern/kitcard-reader,1,0,0.0
remijouannet/get10,1,0,0.0
goldcoin/goldcoin-android,4,0,0.0
Mazuh/Terminal588,1,0,0.0
BILLyTheLiTTle/PhoneAsTablet,1,0,0.0
drilonreqica/PinSaver-android,1,0,0.0
zabbat/autoreply,1,0,0.0
kurema/BDVideoLibraryManager,6,0,0.0
fossasia/ots15-companion,2,0,0.0
itds-consulting/android-silent-ping-sms,5,0,0.0
trashify/bolt-starter,1,0,0.0
mschlauch/comfortreader,8,1,12.5
lsubel/amam-cordova,7,0,0.0
matejdro/TaskerTetherControl,6,0,0.0
Iridias/amarok-rc,4,0,0.0
anvo/piqwi,5,0,0.0
octaltech/fixmephone,1,0,0.0
savanto/AnDICT-Android,7,0,0.0
pistatium/mahougen,2,0,0.0
drew887/Resistor-Calculator,1,0,0.0
chengxinlun/Stellarium-android,6,1,16.67
rameshvoltella/RWeekCalendar,1,0,0.0
xenon92/xposed-disable-fullscreen-keyboard,4,0,0.0
JoostvDoorn/GlutenVrijApp,1,0,0.0
xdtianyu/GTUResult,4,0,0.0
zhuqianqian/wordchain,4,0,0.0
clayfish/torch,3,1,33.33
hckhanh/DemoDeployCI,6,0,0.0
HozakaN/MaterialDesignColorPalette,6,0,0.0
calintat/explorer,1,0,0.0
crazyhitty/Rss-Manager,2,0,0.0
xmikos/SnooperStopper,3,0,0.0
faywong/FFPlayer,1,0,0.0
Crescent-Labs/iqra-android,1,0,0.0
contentful/discovery-app-android,1,0,0.0
mathisdt/checknetwork,1,0,0.0
BlaShadow/Remote-Logger-Android,1,0,0.0
welsinga/SocialURLShare,1,0,0.0
rprouse/TipCalculator.Android,1,0,0.0
ryoyakawai/WebMusicBrowser,1,0,0.0
TimMikeladze/lastfm-android-music-discovery,1,0,0.0
yqritc/Android-ScalableVideoView,3,0,0.0
mrwonderman/driveimageview,1,0,0.0
MacroYau/Blue2Serial,2,0,0.0
msk610/Chemtris,1,0,0.0
gvSIGAssociation/gvsig-mobile,2,0,0.0
WebMajstr-/pebble-navigation,2,0,0.0
obihann/swear-oclock,2,0,0.0
thanksmister/BitcoinBlue,1,0,0.0
unparalleled/viewitt,4,0,0.0
mauriciotogneri/andwars,1,0,0.0
zawadz88/material-activity-chooser,5,0,0.0
dynamitetuning/com.dynamite.heaterrc,4,0,0.0
Frainbow/sharecam.frb-android,1,0,0.0
hearsilent/AmazingAvatar,9,0,0.0
adrian110288/LoadIndicators,1,0,0.0
slvn/android-aosp-mms,1,0,0.0
hrskrs/GestureFun,2,0,0.0
blunden/DoNotDisturbSync,1,0,0.0
raatmarien/Point-and-Hit,5,0,0.0
cunnj/Activities,1,0,0.0
adrielcafe/RecifeBomDeBola,1,0,0.0
thehellnet/myinfos,3,0,0.0
ParkJeongseop/CheongwonPay,1,0,0.0
mtransitapps/ca-maritime-bus-android,1,0,0.0
culebras/BasketTeamMaker,1,0,0.0
Matze1985/FPE-Rechner,4,0,0.0
sukso96100/baekhyang14-android,1,0,0.0
nprc/nprc-android,1,0,0.0
romanlamsal/rowyerboat,1,0,0.0
anjlab/android-sms-gateway,1,0,0.0
enricocid/Storage-USB,3,0,0.0
RSATom/WebChimera-desktop,2,0,0.0
WYKCode/WYK-Android,1,0,0.0
sianis/xkcd,1,0,0.0
staceybellerose/BlankDaydream,3,0,0.0
nohkumado/teleIPX800,1,0,0.0
deano2390/stunclient,3,0,0.0
x-falcon/Virtual-Hosts,6,0,0.0
timothyb89/lifx-tasker,3,2,66.67
dwaring87/pswd,1,0,0.0
VDenis/YandexTranslator,1,0,0.0
JulienVdG/respi55-android,4,0,0.0
fin10/LaunchItUp,4,0,0.0
YUKAI/KonashiInspectorForAndroid,3,0,0.0
jaredkaczynski/CarHud_2.4_Update2,1,0,0.0
FRC1756-Argos/SpeedScout16-Android,4,0,0.0
75py/CallConfirm,3,0,0.0
spheras/messic-android,4,0,0.0
jjanicki/FartCover,1,0,0.0
rewave/RewaveApp,1,0,0.0
jewelzqiu/zjuwlan,1,0,0.0
caarmen/FRCComplication,1,0,0.0
thiagogsr/estatistica-computacional,3,0,0.0
louislam/hkepc-unofficial-android,2,0,0.0
abitsinc/AB-ITS-Inc-Flashlight-Android,5,0,0.0
garywzh/SimpleADB,3,0,0.0
tsekityam/Cangjie-Helper-for-Android,2,0,0.0
telly/MrVector,2,0,0.0
heinrichreimer/material-singleinputform,7,0,0.0
ctz/tee-checker,1,0,0.0
mikeyy109/polyphasicsleep,1,0,0.0
dz0ny/mopidy-android-app,5,0,0.0
paolorotolo/happily,1,0,0.0
andriydruk/R.tools,1,0,0.0
mtransitapps/ca-deux-montagnes-mrcdm-bus-android,1,0,0.0
EmmanuelMess/Voicer,3,0,0.0
sergile/alain-android,1,0,0.0
hishamMuneer/BlackJack_Game,3,0,0.0
kondareddyr/OneTouchReboot,1,0,0.0
rtugores/calvo,1,0,0.0
Jephrey/Appostle,1,0,0.0
vishnudevk/MiBandDecompiled,1,0,0.0
connyduck/pixelwallpaper,2,0,0.0
Jamesits/DisableSystemUpdateService,4,0,0.0
vayan/UnlockCounter,1,0,0.0
rahulmadhavan/clippy,1,0,0.0
vnidens/ClickableEditText,5,0,0.0
HairyRobot/BatteryWidget-gyu,2,0,0.0
CoolONEOfficial/bubbles,3,0,0.0
NordicSemiconductor/Android-nRF-Beacon,3,0,0.0
meefik/wshell,4,0,0.0
alaskalinuxuser/app_hourglass,1,0,0.0
Fintasys/15-Puzzle-Game,1,0,0.0
alijc/CricketsAlarm,1,0,0.0
TobiasBielefeld/Elliptic-Curves-Calculator,2,0,0.0
CiriousJoker/HomingCompass,6,0,0.0
mrieker/SshClient,3,0,0.0
mespinosaz/HackmasterCombatCounter,2,0,0.0
Andr3as/MobileBattery,1,0,0.0
culebras/CalculadoraDeFechas,4,0,0.0
balaji-katika/Muhurat,2,0,0.0
ph1ash/beeplepaper,1,0,0.0
alaskalinuxuser/app_justnotes,1,0,0.0
aldoram5/SimpleHTMLTesterAndroid,1,0,0.0
matt-allen/loaned-android,1,0,0.0
lomza/screenlookcount,2,0,0.0
Pmmlabs/StylishForDolphin,1,0,0.0
pinae/NfcDie,1,0,0.0
zakybstrd21215/Error-404-Cyber-News-App,1,0,0.0
jpd236/fantasywear,1,0,0.0
WNeZRoS/LocatorViaSms,1,0,0.0
MelonSmasher/OpenTorch,1,0,0.0
paytonq/ParticipationManager,1,0,0.0
damico/yapea,1,0,0.0
josenaves/score,1,0,0.0
netmackan/CertTools,1,0,0.0
slyfoxza/muzei-androidwallpapers,1,0,0.0
EnteriseToolkit/ticqr,1,0,0.0
nfllab/SimplePackageInfo,3,0,0.0
ismangil/LinkFormatter,2,0,0.0
kenxwagner/EdisonFacts,1,0,0.0
WindSekirun/HannamQRReader,2,0,0.0
johnkil/Android-CollapsibleSearchMenu,2,0,0.0
ericbhatti/floaties,1,0,0.0
wseemann/ServeStream,3,0,0.0
mridang/gasflow,1,0,0.0
guoguo12/chemistry-data,4,0,0.0
joriswit/SokoBuiltInLevelSolutions,1,0,0.0
RacZo/MotionToColor,3,0,0.0
ViniciusSossela/meuboleto,1,0,0.0
InstituteOfErgonomics/MDT,1,0,0.0
AHelloWorldDev/MinimumWallpaper,3,0,0.0
dlew/android-download-shortcut,1,0,0.0
dillbyrne/HashPass,2,0,0.0
xgdgsc/archwikimanual,5,0,0.0
SenAndAaron/voyager2-android,1,0,0.0
TheSheeps/PPG,5,0,0.0
gtom1984/Eulen,1,0,0.0
VelbazhdSoftwareLLC/Kechi,2,0,0.0
cketti/MateLightAndroid,4,0,0.0
arpruss/roodrive,1,0,0.0
jeesmon/malayalam-bible-android,2,0,0.0
gongmingqm10/TrainTimer,3,0,0.0
jereksel/ListViewSlide,4,0,0.0
philweaver/VisibleLetters,1,0,0.0
EndrII/hanoi_solution,1,0,0.0
jlevers/SoundBoardPlusPlus,1,0,0.0
nutellarlz/JumpGo-Old,2,0,0.0
csarron/MsgDemo,1,0,0.0
Microsoft/ProjectOxford-Apps-MimickerAlarm,1,0,0.0
yqritc/Android-ScalableImageView,1,0,0.0
Manabu-GT/GlassView,1,0,0.0
Kaljurand/Inimesed,1,0,0.0
notriddle/null-launcher,3,0,0.0
importre/popular,1,0,0.0
andryr/guitar-tuner,1,0,0.0
thejeshgn/BleUARTPeripheral,1,0,0.0
ForkTheCode/Knot-It,4,0,0.0
FernandoOrtegaMartinez/Planket,1,0,0.0
gringer/ConcentricClock,1,0,0.0
bpear/Magisk-Quick-Toggle,2,0,0.0
GinSmile/FloodIt,1,0,0.0
EnteriseToolkit/paperchains,1,0,0.0
alefesouza/schoolapp,6,0,0.0
75py/TextCounter,1,0,0.0
aauc/urticariapp,3,0,0.0
chennemann/ADBConnect,1,0,0.0
c-base/AmpelControl,3,0,0.0
timosl/bluetoothvolume,3,0,0.0
Techwolfy/TelepresenceRemote,3,0,0.0
MeilCli/SojoBusSharp,2,0,0.0
rahuldean/Aero,1,0,0.0
msc42/MasterTheMaze,1,0,0.0
velerelectronic/appsemblea,2,0,0.0
WangDaYeeeeee/Mysplash,6,0,0.0
wuyexiong/transparent-over-animtabsview,1,0,0.0
efalk/Altimeter,1,0,0.0
dillbyrne/Bodha-Converter,2,0,0.0
kyokomi/WifiProxySetting,1,0,0.0
aurelitec/injuredpixels-android,1,0,0.0
phpnetfrance/drivinCloudOpen,2,0,0.0
INsReady/ReleaseWatch,1,0,0.0
jorapi/TimeProgressExtension,1,0,0.0
0kstudios/TicTacGo,1,0,0.0
grundid/host-card-emulation-sample,1,0,0.0
lloydtorres/stately,44,1,2.27
theIoTLab/ZephyrBHDeviceAdapter,4,0,0.0
gringer/ColourClock,1,0,0.0
hanneseilers/QR-Rallye-App,1,0,0.0
bdamer/shareplay,1,0,0.0
alaminopu/IST-Syllabus,2,0,0.0
quakerntj/SendMesageToPhoneByGCM,1,0,0.0
bojandevic/bihoskop,1,0,0.0
steventwheeler/PublicAccessSites,2,0,0.0
davide-imbriaco/a-sync-browser,1,0,0.0
gen2brain/vov,1,0,0.0
CMDann/root-checker,1,0,0.0
mrwii/CarouselViewPager,1,0,0.0
jamontes79/movieList,1,0,0.0
Java189/qpboot,1,0,0.0
miguelsm/droidklavier,1,0,0.0
djodjoni/SensorDemo,1,0,0.0
Maarti/QuickFlashlight,1,0,0.0
pmachapman/nzwalks-android,1,0,0.0
jonchampagne/XKCD-Dating-Age-Calculator,2,0,0.0
damico/SecNote,1,0,0.0
sinpolib/nfcspy,3,0,0.0
tiwiz/PasswordView,1,0,0.0
tsekityam/Aria2-Remote-for-Android,2,0,0.0
omgwtfgames/wrist-tweets,1,0,0.0
abzaloid/Control-3D-Sound,1,0,0.0
10cars/Icosphere,1,0,0.0
PathriK/CodenvyDownload,1,0,0.0
przemekr/my_slide,2,0,0.0
oprisnik/semdroid,1,0,0.0
azyobuzin/FallFavo,1,0,0.0
bdiegel/android-aloha-sample,1,0,0.0
hearsilent/QuickYee,2,0,0.0
varunsridharan/Loaders.CSS-Android-App,1,0,0.0
InstituteOfErgonomics/AndroidOcclusion,2,0,0.0
ciopper90/UnimoreWiFiAuthenticator,1,0,0.0
charmicat/MyChime,1,0,0.0
dillbyrne/PasteeDroid,1,0,0.0
gesposito/CodemotionMilan2015,1,0,0.0
TAPeri/WordsMatter,1,0,0.0
AnthonyMeehan/Super-Hyper-Ultra-Golf-Lambda,1,0,0.0
skarllot/calibration-calc,2,0,0.0
wktk/tagifier,2,0,0.0
richtermondt/InitHub-Android,1,0,0.0
Bilibili/muzei-bilibili,1,0,0.0
oakes/Russian101,1,0,0.0
bysse/hashpass-android,1,0,0.0
woefzela/woefzela,1,0,0.0
InstituteOfErgonomics/DrtRC,1,0,0.0
mtransitapps/ca-toronto-ttc-subway-android,1,0,0.0
rpanak/SMS-Forwarder,1,0,0.0
irontec/Mintzatu-mobile,1,0,0.0
Sixstring982/get-shaded,2,0,0.0
AlexandreG/Artifact,1,0,0.0
timothymiko/narrate-android,1,0,0.0
iisy/SmartObjectRecognition,1,0,0.0
seagullua/Alarm-x4,1,0,0.0
CMDann/Simple-Android-Calculator,1,0,0.0
LeonardKoenig/webkey,1,0,0.0
tommai78101/android-5-way-Bluetooth-Relay,2,0,0.0
fmelado/Lapses,1,0,0.0
jeremyje/android-wifioncall,1,0,0.0
kevincarlson/AndroidScreenProperties,1,0,0.0
benhbenny/Taxi-Partage,1,0,0.0
irontec/Ikasikusi-mobile,1,0,0.0
take5249/Maze8801,1,0,0.0
nkahoang/screenstandby,1,0,0.0
shollmann/weathy,2,0,0.0
AlexandreG/TouchSimulator,1,0,0.0
tacks-a/AnkiCard,1,0,0.0
jeremyje/android-volumewidget,1,0,0.0
Rap-ID/Rap-ID-Android,1,0,0.0
godsid/AndroidThailandOnly,1,0,0.0
kciray8/GuapTime,1,0,0.0
dresco/ANTRemote,1,0,0.0
SibDev/LessonScheduleNSPU,1,0,0.0
bobbyrne01/howfardoyouswim-android,1,0,0.0
Raegdan/tabunator,1,0,0.0
HoraApps/LeafPic,7,1,14.29
drewmiley/BattleshipAndroid,1,0,0.0
Medialoha/ACRA-Backend-Tester,1,0,0.0
gmcgibbon/RabbitEars,1,0,0.0
canonale/TimerSeries,1,0,0.0
brianwernick/PlaylistCore,10,1,10.0
pylapp/SmoothClicker,1,0,0.0
mmublackpirate/iymb,1,0,0.0
momonga/CalendarWatchFace,1,0,0.0
